resource,object,code,fund,goal,function,Bayshore Elementary (68858),Belmont-Redwood Shores Elementary (68866),Brisbane Elementary (68874),Burlingame Elementary (68882),Cabrillo Unified (68890),Hillsborough City Elementary (68908),Jefferson Elementary (68916),Pacifica Elementary (68932),La Honda-Pescadero Unified (68940),Las Lomitas Elementary (68957),Menlo Park City Elementary (68965),Millbrae Elementary (68973),Portola Valley Elementary (68981),Ravenswood City Elementary (68999),Redwood City Elementary (69005),San Bruno Park Elementary (69013),San Carlos Elementary (69021),San Mateo-Foster City Elementary (69039),South San Francisco Unified (69070),Woodside Elementary (69088),Alum Rock Union Elementary (69369),Berryessa Union Elementary (69377),Cambrian Elementary (69385),Campbell Union Elementary (69393),Cupertino Union Elementary (69419),Evergreen Elementary (69435),Franklin-McKinley Elementary (69450),Gilroy Unified (69484),Lakeside Joint Elementary (69492),Loma Prieta Joint Union Elementary (69500),Los Altos Elementary (69518),Los Gatos Union Elementary (69526),Luther Burbank Elementary (69542),Moreland Elementary (69575),Morgan Hill Unified (69583),Mountain View Whisman Elementary (69591),Mount Pleasant Elementary (69617),Oak Grove Elementary (69625),Orchard Elementary (69633),Palo Alto Unified (69641),San Jose Unified (69666),Santa Clara Unified (69674),Saratoga Union Elementary (69682),Sunnyvale Elementary (69690),Union Elementary (69708),Milpitas Unified (73387)
"Special Ed: ARP IDEA Part B, Sec. 619, Preschool Grants",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Ages 5-22",Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,-28434.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13863.89,0.0,0.0,0.0,0.0
"Special Ed: IDEA Preschool Grants, Part B, Sec 619",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Ages 5-22",Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Special Ed: IDEA Mental Health Allocation Plan, Part B, Sec 611",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Ages 5-22",Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,30947.94,0.0,0.0,0.0,0.0,12452.97,0.0,24205.69,0.0,0.0,0.0,0.0,0.0,0.0,87976.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Special Ed: ARP IDEA Part B, Sec. 619, Preschool Grants",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Preschool Students",Special Education: Separate Classes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53760,0.0,0.0
"Special Ed: IDEA Preschool Grants, Part B, Sec 619",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Preschool Students",Special Education: Separate Classes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83132,0.0,0.0
"Special Ed: IDEA Preschool Staff Development, Part B, Sec 619",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Preschool Students",Special Education: Separate Classes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549,0.0,0.0
"Special Ed: ARP IDEA Part B, Sec. 611, Local Assistance Entitlement",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Ages 5-22",Special Education: Separate Classes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123358.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177458.5,0.0,0.0
"Special Ed: ARP IDEA Part B, Sec.611, Local Assistance Private School Individual Service Plans (ISPs)",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Ages 5-22",Special Education: Separate Classes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Special Ed: ARP IDEA Part B, Sec. 619, Preschool Grants",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Ages 5-22",Special Education: Separate Classes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Special Ed: IDEA Preschool Grants, Part B, Sec 619",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Ages 5-22",Special Education: Separate Classes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3656,0.0,0.0
"Special Ed: IDEA Mental Health Allocation Plan, Part B, Sec 611",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Ages 5-22",Special Education:  Nonpublic Agencies/Schools (NPA/S),0.0,0.0,0.0,0.0,0.0,0.0,0.0,31194.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Special Ed: IDEA Preschool Grants, Part B, Sec 619",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Preschool Students",Special Education:  Other Specialized Instructional Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4987.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Special Ed: IDEA Preschool Staff Development, Part B, Sec 619",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Preschool Students",Special Education:  Other Specialized Instructional Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Special Ed: IDEA Mental Health Allocation Plan, Part B, Sec 611",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Ages 5-22",Psychological Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unrestricted,U.S. Wildlife Reserve Funds,8280,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11649.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ESSA: Title I, Part C, Migrant Ed (Regular and Summer Program)",Interagency Contracts Between LEAs,8285,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104746.48,0.0,0.0,0.0,13599.97,0.0,0.0,0.0,0.0,0.0,0.0,17190.47,0.0,101902.26,0.0,0.0,0.0,0.0,0.0,0.0,231108.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ESSA: Title I, Migrant Ed Summer Program",Interagency Contracts Between LEAs,8285,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8609.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13867.1,0.0,0.0,0.0,0.0,0.0,0.0,45348.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ESSA: Title I, Part C, Migrant Ed (Regular and Summer Program)",Interagency Contracts Between LEAs,8285,General Fund/County School Service Fund,Nonagency-Educational,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,111464.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ESSA: Title I, Migrant Ed Summer Program",Interagency Contracts Between LEAs,8285,General Fund/County School Service Fund,Nonagency-Educational,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,25454.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unrestricted,All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,52700.74,96182.33,4509.33,0.0,0.0,0.0,0.0,0.0,0.0,119691.18,68748.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75078.98,0.0,0.0,501117.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ESSA: Title I, Part A, Basic Grants Low-Income and Neglected",All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),62032.48,71144,49910.94,90061,60115.74,42225.25,722134.79,0.0,48797,31979,0.0,156747.74,0.0,992627,1163316.95,158240.96,4774.34,667372.37,890205.64,6766,2124832.9,770683.96,125427.81,794177.04,205368.36,1493532.91,2690074.28,1481431.73,0.0,9070,90548,0.0,79003,406598.91,902509.34,250728.24,425477,1483735.39,122719,309987.62,3619761.82,1505,52641,220476.85,108572,668502.61
"ESSA: Title I, Part C, Migrant Ed (Regular and Summer Program)",All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4022.93,0.0,0.0,0.0,0.0
ESSA: School Improvement Funding for LEAs,All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194703.31,0.0,0.0,0.0,264373.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372890.04,0.0,0.0,0.0,0.0,0.0,0.0,272916.64,0.0,0.0,0.0,0.0,0.0,561227.6,296436.92,0.0,0.0,0.0,258356.62
Elementary and Secondary School Emergency Relief (ESSER) Fund,All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21734.55,0.0,0.0,0.0,0.0,3467.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54234.75
Elementary and Secondary School Emergency Relief II (ESSER II) Fund,All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),94768.7,7620.28,4.3,27,30,0.0,0.0,25,46787.59,9,0.0,0.0,0.0,33407.09,693195.92,296213.27,57401.86,473500.91,0.0,0.0,520278.22,0.0,23,352360.4,13380.38,-26759.33,680549.78,1466852.02,0.0,3,25,0.0,101008.52,531777.87,914923.7,100396.14,104,1664191.31,30,0.0,994,301,-221,0.0,6197.93,2151389
Elementary and Secondary School Emergency Relief III (ESSER III) Fund,All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),203028.53,179193.08,91534.22,515729.86,0.0,8971,1723756.77,668461.68,209316.58,1886,0.0,355575.41,0.0,3552432.29,4151075.62,328772.73,241419,268542.2,2802904.34,0.0,7676837.52,590330.61,175107.35,1151070.63,667809.37,683397.26,5549112.03,1800537.79,0.0,11439.95,161.2,0.0,153463.2,991275.96,4172052.3,915706.74,689031.62,4792618.51,3634.16,795183.95,11222270.94,2332201.86,0.0,2632409.01,65988.9,230905.98
Elementary and Secondary School Emergency Relief III (ESSER III) Fund: Learning Loss,All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,9024.6,0.0,7957.39,3618.6,849202.42,0.0,56077.25,5886.94,0.0,38402.31,0.0,820607.48,821323.68,33579.03,0.0,942878.1,0.0,0.0,810383.97,252702.26,23607,0.0,0.0,51679.11,2166691.65,692354.45,0.0,0.0,57287.2,0.0,0.0,564786.14,859146.5,469631,197855,1375541.04,38058.93,0.0,1883367.71,497,0.0,672590,45023.59,408462.62
Governor's Emergency Education Relief Fund: Learning Loss Mitigation,All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,73128.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.36,8235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16692.71,0.0,0.0,47517.24,0.0,0.0,0.0,0.0,0.0,37790.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Expanded Learning Opportunities (ELO) Grant: ESSER II State Reserve,All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),4,174763.52,8658.97,223838,221330,76422,467159.57,268490,0.0,100168,0.0,204684.98,42855,336533.8,212853.18,183687.5,100195.03,866664.08,782375,7840.41,162085.54,15019.13,147219.2,491154.32,649466.24,771583.9,357270.56,328205.51,0.0,151,54299.85,245035,58232,164911.49,4285.61,108360.5,220304,407998.98,76373.66,1034724,0.0,983760,0.0,231665.27,79177.2,473801
Expanded Learning Opportunities (ELO) Grant: GEER II,All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),1123.15,1665.46,9294,9821.04,50797,96,130621,61621,0.0,0.0,0.0,2850,9836,77237,161642,30297.68,39088.06,145818.24,178562,1495,231875,0.0,36522.79,148601,123995.19,0.0,172455,45008.65,0.0,0.0,0.0,56238,13365,607.55,19199.34,30182.22,50562,82807.99,18668,237478,0.0,241746.25,21788.76,49085.78,16749.35,231323
Expanded Learning Opportunities (ELO) Grant: ESSER III State Reserve Emergency Needs,All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),3781.75,0.0,5527.6,111828.88,0.0,6134.03,196120.93,0.0,15033,0.0,0.0,86052.58,0.0,219380,150790.25,107101.73,137665.65,524534.2,0.0,0.0,544889.5,61378,74000,422075,854547.2,0.0,0.0,0.0,0.0,0.0,165576,113294.66,37961,13604.06,78985.59,0.0,26494.76,303491.71,53023,674520,0.0,535578.37,87347.18,0.0,12197.05,589720
Expanded Learning Opportunities (ELO) Grant: ESSER III State Reserve Learning Loss,All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),9795.6,150364.81,45508,184983,123337.65,1180.66,0.0,0.0,8974.69,112563,0.0,72124.53,0.0,107037.4,564509.55,62189.31,53331.63,872456.91,249106.97,0.0,310240.74,424871.65,133581.72,727586,889489.18,0.0,0.0,455839.38,0.0,0.0,128523.43,0.0,65438,3329.31,785324.09,0.0,0.0,272737.81,91403,0.0,0.0,1045727.69,132458.76,0.0,47283.94,1132617
ASES Rate Increase: ESSER III State Reserve Summer Learning Programs,All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144690,0.0,36147.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21st Century Community Learning Centers (CCLC) Rate Increase ESSER III State Reserve Afterschool Programs,All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406423.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Department of Rehab: Workability II, Transition Partnership",All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,21646.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228997.22
"Strengthening Career and Technical Education for the 21st Century (Perkins V): Secondary, Section 131",All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,16311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76561,0.0,0.0,0.0,0.0,0.0,0.0,59213,0.0,0.0,0.0,0.0,49497.17,0.0,85390,0.0,0.0,0.0,49623
"ESSA: Title II, Part A, Supporting Effective Instruction",All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),13868.25,42507.68,15763.98,41332,3079,17237,163874.9,0.0,19225.06,16718,28891,39030.11,17929.29,217821.25,170920.8,41970.22,32423.94,464951.06,179262,6300,201834.58,166421.95,48826.06,197056.24,154073.67,212698.43,276539.41,251510.53,2315,5124,58904,36871,13086,182596.11,238855.12,53180.81,87406.58,213878.51,35645,156732,786579.28,205640.72,30069,112111,64075,175386.76
"ESSA: Title IV, Part B, 21st Century Community Learning Centers Program",All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435365.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582500.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ESSA: Title V, Part B, Rural & Low Income School Program",All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35004.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ESSA: Title IV, Part A, Student Support and Academic Enrichment Grants",All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,20000,0.0,1000,10850.24,10000,56220.85,0.0,0.0,10000,0.0,19764.22,0.0,158589,75900.14,20157,0.0,127198.49,71878,10000,195940,48711.97,10723.57,51747.27,20994.31,0.0,286815.64,265140.28,0.0,0.0,17396,0.0,10000,32689.97,46335.8,21344,87585.96,85145.38,20618,23526,260637,0.0,10000,0.0,10000,31584.35
"ESSA: Title III, Immigrant Student Program",All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),1829.52,1970,0.0,-9904,0.0,0.0,59827.34,0.0,0.0,11163,0.0,0.0,0.0,0.0,44024.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4771,0.0,46908.82,24652.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103376.14
"ESSA: Title III, English Learner Student Program",All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),2366.08,65833,0.0,19662.77,117364.58,3128,776984.5,0.0,17044.99,17693,25960,59258.69,10863.76,399536,299661.34,68116.06,24014.61,371265.62,237059.26,3303.52,324810.18,229243,41139.84,298283.74,129036.84,312436.86,411481.68,401992.22,0.0,0.0,48307,40175,29001,178900.51,213968.48,110501.94,94184.31,619956.84,63418,202368.35,751461.79,745556.01,15032,405143.34,81466.85,351338.59
"ESSA: Title IX, Part A, McKinney-Vento Homeless Assistance Grants",All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7407.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Rescue Plan - Homeless Children and Youth-Statewide Activities,All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128231.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Rescue Plan - Homeless Children and Youth II (ARP HCY II),All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,507.04,0.0,0.0,0.0,0.0,0.0,0.0,37989,5550,0.0,0.0,61067,5503.75,0.0,46483.87,0.0,0.0,11046.25,4812.64,0.0,12595.03,9541.69,0.0,0.0,0.0,0.0,0.0,4236.44,43647.65,3800.57,1816.11,2673.28,0.0,2139,0.0,0.0,0.0,0.0,0.0,18314.63
Medi-Cal Billing Option,All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-243562.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Restricted Federal,All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,3140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43490.42
Other Restricted Local,All Other Federal Revenue,8290,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243562.1,0.0,3248.57,0.0,0.0,0.0,0.0,0.0,0.0,13943.07,0.0,0.0,231008.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403030.29
